SalesOrderID;OrderDate;ShipDate;ShipMethod;CustomerID;CustomerName;Segment;CountryRegion;City;Province;PostalCode;Territory;ProductName;SubCategory;Category;Qty;UnitPrice;Sales;Discount;ProductCost;TotalCost;Profit
43659;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;676;;Shop;United States;Austell;Georgia;30106;Southeast;AWC Logo Cap;Caps;Clothing;2;5,1865;10,373;0;5,7052;11,4104;-1,0374
43661;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;442;;Shop;Canada;Toronto;Ontario;M4B 1V5;Canada;AWC Logo Cap;Caps;Clothing;4;5,1865;20,746;0;5,7052;22,8208;-2,0748
43662;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;227;;Shop;Canada;Toronto;Ontario;M4B 1V5;Canada;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43665;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;146;;Shop;United States;Seattle;Washington;98104;Northwest;AWC Logo Cap;Caps;Clothing;2;5,1865;10,373;0;5,7052;11,4104;-1,0374
43666;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;511;;Shop;United States;San Mateo;California;94404;Southwest;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43668;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;514;;Shop;Canada;Richmond;British Columbia;V6B 3P7;Canada;Road-150 Red, 56;Road Bikes;Bikes;2;2146,962;4293,924;0;2171,2942;4342,5884;-48,6644
43668;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;514;;Shop;Canada;Richmond;British Columbia;V6B 3P7;Canada;AWC Logo Cap;Caps;Clothing;4;5,1865;20,746;0;5,7052;22,8208;-2,0748
43671;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;200;;Shop;United States;Port Orchard;Washington;98366;Northwest;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43673;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;618;;Shop;United States;Plaistow;New Hampshire;3865;Northeast;AWC Logo Cap;Caps;Clothing;1;5,1865;5,1865;0;5,7052;5,7052;-0,5187
43675;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;670;;Shop;United States;Odessa;Missouri;64076;Central;AWC Logo Cap;Caps;Clothing;2;5,1865;10,373;0;5,7052;11,4104;-1,0374
43677;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;679;;Shop;Canada;Montreal;Quebec;H1Y 2H3;Canada;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43677;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;679;;Shop;Canada;Montreal;Quebec;H1Y 2H3;Canada;AWC Logo Cap;Caps;Clothing;5;5,1865;25,9325;0;5,7052;28,526;-2,5935
43678;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;203;;Shop;United States;Monrovia;California;91016;Southwest;AWC Logo Cap;Caps;Clothing;3;5,1865;15,5595;0;5,7052;17,1156;-1,5561
43680;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;491;;Shop;United States;Modesto;California;95354;Southwest;Road-150 Red, 56;Road Bikes;Bikes;2;2146,962;4293,924;0;2171,2942;4342,5884;-48,6644
43680;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;491;;Shop;United States;Modesto;California;95354;Southwest;AWC Logo Cap;Caps;Clothing;3;5,1865;15,5595;0;5,7052;17,1156;-1,5561
43681;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;423;;Shop;United States;Biloxi;Mississippi;39530;Southeast;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43681;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;423;;Shop;United States;Biloxi;Mississippi;39530;Southeast;AWC Logo Cap;Caps;Clothing;2;5,1865;10,373;0;5,7052;11,4104;-1,0374
43683;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;506;;Shop;United States;Casper;Wyoming;82601;Northwest;AWC Logo Cap;Caps;Clothing;3;5,1865;15,5595;0;5,7052;17,1156;-1,5561
43688;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;161;;Shop;United States;Fort Wayne;Indiana;46807;Northeast;Road-150 Red, 56;Road Bikes;Bikes;2;2146,962;4293,924;0;2171,2942;4342,5884;-48,6644
43689;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;166;;Shop;United States;Garland;Texas;75040;Southwest;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43690;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;431;;Shop;United States;Holland;Michigan;49423;Central;AWC Logo Cap;Caps;Clothing;2;5,1865;10,373;0;5,7052;11,4104;-1,0374
43692;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;221;;Shop;United States;Las Cruces;New Mexico;88001;Southwest;AWC Logo Cap;Caps;Clothing;6;5,1865;31,119;0;5,7052;34,2312;-3,1122
43692;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;221;;Shop;United States;Las Cruces;New Mexico;88001;Southwest;Road-150 Red, 56;Road Bikes;Bikes;2;2146,962;4293,924;0;2171,2942;4342,5884;-48,6644
43694;01/07/2001 00:00;08/07/2001 00:00;CARGO TRANSPORT 5;315;;Shop;United States;Merritt Island;Florida;32952;Southeast;AWC Logo Cap;Caps;Clothing;1;5,1865;5,1865;0;5,7052;5,7052;-0,5187
43710;03/07/2001 00:00;10/07/2001 00:00;XRQ - TRUCK GROUND;16517;Katrina Raji;Individu;Australia;Wollongong;New South Wales;2500;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43711;04/07/2001 00:00;11/07/2001 00:00;XRQ - TRUCK GROUND;27606;Courtney Edwards;Individu;United States;Milwaukie;Oregon;97222;Northwest;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43715;05/07/2001 00:00;12/07/2001 00:00;XRQ - TRUCK GROUND;16483;Warren Jai;Individu;Australia;Melbourne;Victoria;3000;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43731;09/07/2001 00:00;16/07/2001 00:00;XRQ - TRUCK GROUND;16629;Rosa Zheng;Individu;Australia;Matraville;New South Wales;2036;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43742;12/07/2001 00:00;19/07/2001 00:00;XRQ - TRUCK GROUND;13576;Tamara Lal;Individu;United Kingdom;London;England;W1X3SE;United Kingdom;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43747;14/07/2001 00:00;21/07/2001 00:00;XRQ - TRUCK GROUND;27623;Christian Jackson;Individu;United States;Lincoln Acres;California;91950;Southwest;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43749;14/07/2001 00:00;21/07/2001 00:00;XRQ - TRUCK GROUND;27636;Paige Murphy;Individu;United States;Issaquah;Washington;98027;Northwest;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43760;16/07/2001 00:00;23/07/2001 00:00;XRQ - TRUCK GROUND;16352;Tiffany Gao;Individu;Australia;Goulburn;New South Wales;2580;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43762;17/07/2001 00:00;24/07/2001 00:00;XRQ - TRUCK GROUND;27578;Courtney Carter;Individu;United States;Lakewood;California;90712;Southwest;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43773;19/07/2001 00:00;26/07/2001 00:00;XRQ - TRUCK GROUND;16526;Arthur Perez;Individu;Australia;Sunbury;Victoria;3429;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43776;20/07/2001 00:00;27/07/2001 00:00;XRQ - TRUCK GROUND;13260;James Flores;Individu;Germany;Neunkirchen;Saarland;66578;Germany;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43791;22/07/2001 00:00;29/07/2001 00:00;XRQ - TRUCK GROUND;16484;Dustin Lal;Individu;Australia;Springwood;New South Wales;2777;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43803;25/07/2001 00:00;01/08/2001 00:00;XRQ - TRUCK GROUND;21741;Alexa Sanders;Individu;Canada;N. Vancouver;British Columbia;V7L 4J4;Canada;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43816;27/07/2001 00:00;03/08/2001 00:00;XRQ - TRUCK GROUND;16496;Dawn Tang;Individu;Australia;Darlinghurst;New South Wales;2010;Australia;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43841;31/07/2001 00:00;07/08/2001 00:00;XRQ - TRUCK GROUND;13406;Craig Jiménez;Individu;Germany;Münster;Saarland;48001;Germany;Road-150 Red, 56;Road Bikes;Bikes;1;3578,27;3578,27;0;2171,2942;2171,2942;1406,9758
43845;01/08/2001 00:00;08/08/2001 00:00;CARGO TRANSPORT 5;206;;Shop;United States;Winston-Salem;North Carolina;27104;Southeast;Road-150 Red, 56;Road Bikes;Bikes;2;2146,962;4293,924;0;2171,2942;4342,5884;-48,6644
43845;01/08/2001 00:00;08/08/2001 00:00;CARGO TRANSPORT 5;206;;Shop;United States;Winston-Salem;North Carolina;27104;Southeast;AWC Logo Cap;Caps;Clothing;4;5,1865;20,746;0;5,7052;22,8208;-2,0748
43846;01/08/2001 00:00;08/08/2001 00:00;CARGO TRANSPORT 5;318;;Shop;Canada;Victoria;British Columbia;V8V;Canada;AWC Logo Cap;Caps;Clothing;1;5,1865;5,1865;0;5,7052;5,7052;-0,5187
43847;01/08/2001 00:00;08/08/2001 00:00;CARGO TRANSPORT 5;210;;Shop;Canada;Toronto;Ontario;M4B 1V5;Canada;AWC Logo Cap;Caps;Clothing;1;5,1865;5,1865;0;5,7052;5,7052;-0,5187
43850;01/08/2001 00:00;08/08/2001 00:00;CARGO TRANSPORT 5;191;;Shop;Canada;Toronto;Ontario;M4B 1V7;Canada;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
43851;01/08/2001 00:00;08/08/2001 00:00;CARGO TRANSPORT 5;558;;Shop;United States;Tilton;New Hampshire;3276;Northeast;Road-150 Red, 56;Road Bikes;Bikes;1;2146,962;2146,962;0;2171,2942;2171,2942;-24,3322
